218.6,11.6,13.8,4.8,0
245.6,13.8,11.6,4.8,1
206.6,15.2,17.4,4.0,0
233.0,17.4,15.2,6.2,1
208.0,15.4,16.8,3.8,0
215.6,16.8,15.4,5.2,1
196.4,13.8,12.4,5.2,1
194.6,12.4,13.8,3.2,0
226.8,16.2,13.4,5.0,1
202.4,13.4,16.2,4.8,0
182.8,11.4,16.2,5.2,0
238.2,16.2,11.4,7.0,1
254.2,12.2,6.8,2.6,1
160.6,6.8,12.2,1.8,0
168.2,8.8,12.8,2.4,0
220.4,12.8,8.8,7.0,1
188.4,13.4,17.4,4.2,0
241.6,17.4,13.4,5.6,1
240.4,15.0,12.6,6.2,1
202.8,12.6,15.0,4.6,0
257.2,15.0,9.4,5.0,1
182.2,9.4,15.0,3.6,0
227.6,17.6,15.8,5.6,1
202.6,15.8,17.6,7.4,0
171.6,11.6,14.8,3.4,0
190.0,14.8,11.8,8.0,1
228.8,15.2,10.6,5.0,1
182.4,10.6,15.2,3.6,0
211.6,15.8,17.4,4.6,0
229.8,17.4,15.8,5.8,1
167.6,9.0,16.4,4.2,0
261.4,16.4,9.0,4.0,1
241.8,17.6,15.8,8.0,1
221.0,15.8,17.6,6.4,0
208.6,15.0,16.6,3.8,0
209.0,16.6,15.0,6.2,1
129.2,1.6,4.0,0.4,0
255.8,4.0,1.6,1.0,1
259.8,13.0,8.4,4.2,1
187.0,8.2,13.0,3.4,0
243.6,16.8,11.0,8.0,1
180.6,11.0,16.8,3.8,0
236.4,17.8,11.8,6.6,1
161.0,11.8,17.8,4.4,0
208.0,15.0,17.4,5.4,0
227.8,17.4,15.0,4.8,1
251.0,20.2,17.4,7.8,1
221.0,17.4,20.2,6.6,0
221.2,18.4,17.6,6.2,1
220.4,17.6,18.4,7.4,0
216.4,15.6,12.8,4.8,1
190.8,12.8,15.6,4.6,0
171.8,10.6,16.0,2.6,0
247.4,16.0,10.6,5.6,1
242.0,17.2,13.6,6.4,1
202.4,13.4,17.2,6.8,0
243.6,17.0,11.6,6.8,1
177.4,11.6,17.0,4.0,0
224.2,16.6,18.0,13.4,0
234.2,18.0,16.6,6.2,1
194.6,11.4,15.6,4.6,0
232.0,15.6,11.4,3.2,1
237.2,17.8,12.2,3.6,1
183.2,12.2,17.8,4.0,0
249.8,16.2,12.0,4.4,1
219.4,12.0,16.2,5.0,0
203.2,14.2,17.8,7.2,0
245.0,17.8,14.4,6.6,1
251.6,12.2,6.8,5.0,1
174.8,6.8,12.2,3.8,0
240.0,17.0,12.0,6.0,1
173.8,12.0,17.0,4.4,0
223.6,14.8,10.2,3.0,1
170.0,10.2,14.8,3.0,0
169.6,7.6,13.8,3.0,0
246.0,13.8,7.6,4.0,1
194.8,12.6,13.6,5.0,0
194.4,13.6,12.6,6.0,1
193.0,14.2,11.6,4.4,1
191.6,11.6,14.2,2.0,0
190.4,13.8,18.0,4.8,0
225.2,18.0,13.8,7.0,1
226.4,17.6,14.2,5.0,1
198.0,14.2,17.6,6.4,0
202.0,15.8,16.8,5.0,0
211.2,16.8,15.8,5.0,1
252.6,16.8,11.2,7.0,1
184.2,11.2,17.0,3.8,0
256.6,13.6,6.0,3.2,1
145.6,6.0,13.6,2.2,0
214.8,17.6,17.2,3.8,1
203.6,17.2,17.6,4.0,0
213.6,8.0,8.8,2.2,0
218.6,8.8,8.0,2.6,1
205.0,15.4,18.6,7.4,0
231.0,18.4,15.4,5.2,1
215.6,18.2,17.2,7.4,1
209.2,17.2,18.2,5.2,0
227.8,14.4,10.2,4.6,1
183.8,10.2,14.4,4.4,0
197.6,17.4,17.2,4.8,0
189.2,17.2,17.4,5.4,1
238.2,14.2,9.2,4.8,1
189.0,9.2,14.2,2.6,0
202.4,11.8,16.4,4.2,0
251.4,16.4,12.0,5.2,1
159.6,7.0,15.8,3.8,0
255.8,15.8,7.0,5.8,1
230.8,16.2,14.8,7.6,1
210.6,14.8,16.2,5.6,0
207.6,17.0,18.2,5.0,0
220.2,18.2,17.0,6.2,1
190.8,13.2,14.2,4.8,0
183.2,14.2,13.2,3.4,1
185.8,14.6,17.0,4.6,0
210.4,17.0,14.6,6.2,1
206.2,11.4,15.4,5.8,0
253.4,15.4,11.4,7.2,1
191.0,13.6,16.8,4.2,0
225.8,16.8,13.8,4.4,1
208.2,19.8,21.4,6.8,0
228.8,21.4,19.8,10.2,1
254.4,14.6,8.0,5.4,1
162.6,8.0,14.6,3.4,0
202.8,16.2,18.6,4.6,0
219.4,18.4,16.2,5.8,1
200.0,14.4,16.8,3.0,0
223.6,16.6,14.4,4.2,1
164.2,11.0,16.4,2.8,0
214.8,16.4,11.0,4.4,1
233.8,19.4,15.2,5.0,1
193.4,15.2,19.4,6.8,0
227.6,15.2,13.0,6.2,1
205.2,13.0,15.2,4.6,0
